family,depth_bin,depth_center,K,normalized_mode_energy,n_tasks
Classification,4,0.4090909090909091,17,0.014190235868243367,3
Classification,4,0.4090909090909091,18,0.013311954425109719,3
Classification,4,0.4090909090909091,19,0.01258348961484513,3
Classification,4,0.4090909090909091,20,0.011978694933925673,3
Classification,4,0.4090909090909091,21,0.011516144454519003,3
Classification,4,0.4090909090909091,22,0.010705034827911034,3
Classification,4,0.4090909090909091,23,0.010490309150359978,3
Classification,4,0.4090909090909091,24,0.009957172743860376,3
Classification,4,0.4090909090909091,25,0.009440293983064282,3
Classification,4,0.4090909090909091,26,0.00908090757576519,3
Classification,4,0.4090909090909091,27,0.008791162854533876,3
Classification,4,0.4090909090909091,28,0.008592210576076398,3
Classification,4,0.4090909090909091,29,0.008250486898304207,3
Classification,4,0.4090909090909091,30,0.007833329306195534,3
Classification,4,0.4090909090909091,31,0.007745617221713384,3
Classification,4,0.4090909090909091,32,0.007380551799972331,3
Classification,4,0.4090909090909091,33,0.007173329311748722,3
Classification,4,0.4090909090909091,34,0.006905798610019313,3
Classification,4,0.4090909090909091,35,0.006360199594636404,3
Classification,4,0.4090909090909091,36,0.006339438272758752,3
Classification,4,0.4090909090909091,37,0.006249715758027956,3
Classification,4,0.4090909090909091,38,0.006271283866377362,3
Classification,4,0.4090909090909091,39,0.0058731323656843444,3
Classification,4,0.4090909090909091,40,0.005953312403837156,3
Classification,4,0.4090909090909091,41,0.005539165078391461,3
Classification,4,0.4090909090909091,42,0.005503886714291876,3
Classification,4,0.4090909090909091,43,0.005400126573068467,3
Classification,4,0.4090909090909091,44,0.00515727115258294,3
Classification,4,0.4090909090909091,45,0.00527889429182581,3
Classification,4,0.4090909090909091,46,0.005440665313424335,3
Classification,4,0.4090909090909091,47,0.00540870366582093,3
Classification,4,0.4090909090909091,48,0.004412900009906715,2
Classification,4,0.4090909090909091,49,0.004394120598196903,2
Classification,4,0.4090909090909091,50,0.004297270601558462,2
Classification,4,0.4090909090909091,51,0.004121299249079809,2
Classification,4,0.4090909090909091,52,0.003997723867874748,2
Classification,4,0.4090909090909091,53,0.003960639793869217,2
Classification,4,0.4090909090909091,54,0.003857711232425262,2
Classification,4,0.4090909090909091,55,0.0038172372703317247,2
Classification,4,0.4090909090909091,56,0.003656905258572423,2
Classification,4,0.4090909090909091,57,0.003572526131865923,2
Classification,4,0.4090909090909091,58,0.0035724881275015262,2
Classification,4,0.4090909090909091,59,0.0035189888002382062,2
Classification,4,0.4090909090909091,60,0.003430797212763615,2
Classification,4,0.4090909090909091,61,0.0034299978637787653,2
Classification,4,0.4090909090909091,62,0.003333493916877004,2
Classification,4,0.4090909090909091,63,0.003249156346484895,2
Classification,4,0.4090909090909091,64,0.00310116062268888,2
Classification,4,0.4090909090909091,65,0.003128415664710481,2
Classification,4,0.4090909090909091,66,0.0030487712181756126,2
Classification,4,0.4090909090909091,67,0.0029584367504172306,2
Classification,4,0.4090909090909091,68,0.00289766766834979,2
Classification,4,0.4090909090909091,69,0.00292442332250715,2
Classification,4,0.4090909090909091,70,0.002850350826920492,2
Classification,4,0.4090909090909091,71,0.002774675383436816,2
Classification,4,0.4090909090909091,72,0.0027678376110937177,2
Classification,4,0.4090909090909091,73,0.0026754988576380744,2
Classification,4,0.4090909090909091,74,0.002675767793726889,2
Classification,4,0.4090909090909091,75,0.002562116121645811,2
Classification,4,0.4090909090909091,76,0.002531315056136208,2
