task,task_type,fraction,method,utility_spearman,preference_accuracy,ndcg_at_k,regret_at_1,coverage_regret_at_k,near_oracle_hit_5pct,rank_reliability,shortlist_jaccard_at_k,top1_agreement
LegalBenchPC,PairClassification,0.75,fixed_precision,0.48777647197522983,0.676535737554371,0.7891505084070565,0.18203223800642337,0.014077141163738956,0.8571428571428571,0.9916192627248528,0.9619047619047619,0.9142857142857144
LegalBenchPC,PairClassification,0.75,no_precision,0.49421160206253384,0.6792426827830554,0.7991866005958086,0.1795155419706933,0.015068802658425291,0.8571428571428571,0.9932395554755803,0.9333333333333333,1.0
LegalBenchPC,PairClassification,0.75,shuffled_precision,0.47262754611847785,0.6696087771441809,0.7868182456315401,0.17569968746578388,0.02608053057826985,0.8571428571428571,0.995524845216895,0.9769523809523809,0.954
LegalBenchPC,PairClassification,1.0,adaptive_precision,0.4867937031912188,0.6748249473094193,0.7862393894959717,0.18371003536357675,0.014077141163738956,0.8571428571428571,1.0,1.0,1.0
LegalBenchPC,PairClassification,1.0,fixed_precision,0.4867937031912188,0.6748249473094193,0.7862393894959717,0.18371003536357675,0.014077141163738956,0.8571428571428571,1.0,1.0,1.0
LegalBenchPC,PairClassification,1.0,no_precision,0.5004999968975125,0.6823536504902964,0.8064381557986575,0.1795155419706933,0.014077141163738956,0.8571428571428571,1.0,1.0,1.0
LegalBenchPC,PairClassification,1.0,shuffled_precision,0.48679370319121873,0.6748249473094194,0.7862393894959717,0.18371003536357675,0.014077141163738954,0.8571428571428571,1.0,1.0,1.0
SICK-R,STS,0.25,adaptive_precision,0.7080410272956856,0.7875012606441177,0.931332035235408,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9943474351735221,0.9190476190476191,1.0
SICK-R,STS,0.25,fixed_precision,0.7020895129715006,0.783611816754674,0.9303956424986637,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9971120308263165,0.9809523809523809,1.0
SICK-R,STS,0.25,no_precision,0.7010759302808992,0.7826804582580981,0.9303956424986637,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9971424041796713,0.9809523809523809,1.0
SICK-R,STS,0.25,shuffled_precision,0.7011391291937876,0.7833766768221427,0.9268542079348221,0.04592679023387732,0.01517102883492906,0.8582857142857143,0.9970583066622819,0.9657006802721089,0.9988571428571429
SICK-R,STS,0.5,adaptive_precision,0.7194387475878159,0.7942819168409231,0.9365476208882824,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9971353739428273,1.0,1.0
SICK-R,STS,0.5,fixed_precision,0.7057232829282519,0.7851466587242985,0.9291696989395832,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.996487487667612,0.9714285714285714,1.0
SICK-R,STS,0.5,no_precision,0.70610863670491,0.785794880068172,0.930030310833842,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9980113551045228,0.9714285714285714,1.0
SICK-R,STS,0.5,shuffled_precision,0.697486829692047,0.7816115393509183,0.9270204900293574,0.04787562247446153,0.01394755876759607,0.8697142857142858,0.9964051614224285,0.9714285714285714,0.9982857142857142
SICK-R,STS,0.75,adaptive_precision,0.7001596416006353,0.790443912195465,0.9339926904428173,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9972284609800138,0.9333333333333333,1.0
SICK-R,STS,0.75,fixed_precision,0.705861976532784,0.7849016573488623,0.9302584929368988,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9986087577019254,0.9619047619047619,1.0
SICK-R,STS,0.75,no_precision,0.7059354682584497,0.784572276584699,0.9304179479727654,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9989462463002836,0.9619047619047619,1.0
SICK-R,STS,0.75,shuffled_precision,0.6992994386979481,0.7838342140675059,0.9250221747483108,0.04592409166454474,0.01529337584166236,0.8571428571428571,0.9981792781131912,0.9804761904761905,1.0
SICK-R,STS,1.0,adaptive_precision,0.7039374290305968,0.7836529929697632,0.929695927860827,0.04592409166454474,0.01529337584166236,0.8571428571428571,1.0,1.0,1.0
SICK-R,STS,1.0,fixed_precision,0.7039374290305968,0.7836529929697632,0.929695927860827,0.04592409166454474,0.01529337584166236,0.8571428571428571,1.0,1.0,1.0
SICK-R,STS,1.0,no_precision,0.7055523358628949,0.7841705913134485,0.929695927860827,0.04592409166454474,0.01529337584166236,0.8571428571428571,1.0,1.0,1.0
SICK-R,STS,1.0,shuffled_precision,0.7039374290305968,0.7836529929697631,0.9296959278608269,0.04592409166454474,0.01529337584166236,0.8571428571428571,1.0,1.0,1.0
STS15,STS,0.25,adaptive_precision,0.3591283995507598,0.6297725338843351,0.832060574693273,0.16880541371360397,0.011232571101807797,0.8571428571428571,0.9937334901123721,0.9333333333333333,1.0
STS15,STS,0.25,fixed_precision,0.32182196685302283,0.6144993308968464,0.8118215838373379,0.15610916657118684,0.011232571101807797,0.8571428571428571,0.9891370492861177,0.9047619047619048,0.8571428571428571
STS15,STS,0.25,no_precision,0.33472296647451927,0.6201840436995717,0.8302862933458665,0.1250295890781078,0.011232571101807797,0.8571428571428571,0.9899973442706363,0.9142857142857144,0.8285714285714285
STS15,STS,0.25,shuffled_precision,0.3282145193936498,0.6184212297019751,0.8180181707887791,0.1546082361698264,0.01129975518513329,0.8571428571428571,0.9930646248161776,0.9518095238095238,0.9308571428571428
STS15,STS,0.5,adaptive_precision,0.3094594722048138,0.6136212772734512,0.775452756211012,0.3055487561058506,0.011232571101807797,0.8571428571428571,0.9927668480587736,0.9523809523809524,1.0
STS15,STS,0.5,fixed_precision,0.2993265616371206,0.6081917337321064,0.7697850811535903,0.2827959202150667,0.011232571101807797,0.8571428571428571,0.9957730220090468,0.9714285714285714,0.9428571428571428
STS15,STS,0.5,no_precision,0.31839657237172764,0.6139560853225449,0.8003880643695241,0.19178457665193144,0.011232571101807797,0.8571428571428571,0.9964284038942424,0.9714285714285714,1.0
STS15,STS,0.5,shuffled_precision,0.29525333871097853,0.6075629762370135,0.7717016095651941,0.25291108758320563,0.012088117211338612,0.8571428571428571,0.9940492147603949,0.9663401360544217,0.9388571428571428
STS15,STS,0.75,adaptive_precision,0.2682323266795317,0.5957215331252598,0.7399225363314115,0.29635709093051954,0.011232571101807797,0.8571428571428571,0.9967277939451852,0.9523809523809524,0.9142857142857144
STS15,STS,0.75,fixed_precision,0.29445466334907333,0.605488408072259,0.7613339671473689,0.3055487561058506,0.011232571101807797,0.8571428571428571,0.9979362376753681,0.980952380952381,1.0
