metric,family,pearson_mean,pearson_variance,spearman_mean,spearman_variance,kendall_mean,kendall_variance,distance_mean,distance_variance,n_seeds,n_tasks,family_mean,family_variance,family_q1,family_median,family_q3,family_min,family_max,n_model_task_cases
Curvature,Core class-organized,0.16412359263968646,0.0042277211003826625,0.12289653190951563,0.005855143625696755,0.11644484810094291,0.003975497766106891,0.6133373370313001,0.00013189809063724408,4,3,0.12289653190951563,0.005855143625696755,-0.19369138515676915,0.02998190195940322,0.6953444296611477,-0.6725107584178502,0.836253471578901,21
DiME,Core class-organized,0.18515067979339483,0.0004092379202520536,0.20156155844069396,0.00031822456890828196,0.16246977659371567,4.672640364540343e-05,0.5967846455293554,0.00040453809732667956,4,3,0.20156155844069396,0.00031822456890828196,-0.11883777906182083,0.12894535423031372,0.4875503667456801,-0.5338933932706846,0.8751952268947027,21
Harmora,Core class-organized,0.3514719735009735,0.01240996410264592,0.3152214620026198,0.016176929692998117,0.2385718800123588,0.009813165013795254,0.5698355118267686,0.0006417460943405814,4,3,0.3152214620026198,0.016176929692998117,0.12033489385848731,0.282146596830158,0.4807362888971901,-0.1845507972224515,0.7253467929138071,21
InfoNCE,Core class-organized,0.3488772297941699,0.00047835501568611,0.2886363647260839,0.0014722886363822674,0.22574506472695252,0.0008342279495513672,0.5934988819948764,9.287801874434763e-05,4,3,0.2886363647260839,0.0014722886363822674,0.057692161615422406,0.21294706489049847,0.48746337930092615,-0.25915981155577233,0.8673143041258964,21
LiDAR,Core class-organized,0.19312290432923576,0.002742446666838255,0.2310313240858396,0.009317553342841923,0.19180773458976336,0.004442138468512806,0.5295619254384076,0.0005211471014714574,4,3,0.2310313240858396,0.009317553342841923,0.05678540882203481,0.295682567079554,0.4534014738161324,-0.5704320295637418,0.8795781382123831,21
Matrix entropy,Core class-organized,0.35824378861676437,0.00019401373731317597,0.29374839237328143,0.0010913323086888587,0.2276754446962583,0.0007392433854950401,0.600448232102677,9.882241830524081e-05,4,3,0.29374839237328143,0.0010913323086888587,0.047008616847631565,0.24284909893588016,0.48746337930092615,-0.22575083650944558,0.8673143041258964,21
Participation ratio,Core class-organized,0.3438314094248821,0.0004132677406343676,0.27449966203524057,0.00012315898032845104,0.21315160605976213,0.00021821863869547493,0.6098642227643407,0.00011972567672908282,4,3,0.27449966203524057,0.00012315898032845104,0.06381759839003018,0.35149484345875187,0.5547395841000459,-0.49523563728191866,0.7982576658114131,21
Spectral gap,Core class-organized,0.33705111199668336,0.002813931899937857,0.32400206493022243,0.003208347365868665,0.2509640103486365,0.002501130508019787,0.5915967176004643,0.00017226220640935853,4,3,0.32400206493022243,0.003208347365868665,0.20907956028461971,0.40084412318371454,0.4867932319170767,-0.2754122973581486,0.7967339849999566,21
Anisotropy,Pairwise relational,0.1885120633663486,0.0,0.099360080912876,0.0,0.08372679080753617,0.0,0.6008041795329443,0.0,4,1,0.099360080912876,0.0,-0.32307692307692304,0.0921739130434782,0.5313436563436564,-0.5824175824175823,0.7692307692307694,7
Curvature,Pairwise relational,-0.31643262351556667,0.0,-0.23952898033643383,0.0,-0.1450870040932153,0.0,0.5376232484737734,0.0,4,1,-0.23952898033643383,0.0,-0.5874125874125875,-0.5357142857142858,0.2226373626373626,-0.6923076923076924,0.2808695652173912,7
