metric,family,task,pearson,spearman,kendall,distance,n_models
Curvature,Core class-organized,HUMEEmotionClassification,-0.01761775123886675,-0.010792513607154377,-0.004150497717688669,0.4201343922367245,7
DiME,Core class-organized,HUMEEmotionClassification,0.07013444446959731,0.11244397148364745,0.09644210790041052,0.44091775050994836,7
Harmora,Core class-organized,HUMEEmotionClassification,0.15502294255484544,0.1540508031313668,0.12312669936587496,0.47777529406177444,7
InfoNCE,Core class-organized,HUMEEmotionClassification,0.16104184505703426,0.18484211193308867,0.1461663114114225,0.4893923078643613,7
LiDAR,Core class-organized,HUMEEmotionClassification,0.19777253199452277,0.1947274168366581,0.15568410814919115,0.463954733835649,7
Matrix entropy,Core class-organized,HUMEEmotionClassification,0.1630021376816771,0.1995763300805537,0.15587733394081935,0.5011791742111159,7
Participation ratio,Core class-organized,HUMEEmotionClassification,0.19665082760884486,0.12889104412438387,0.10079377969133196,0.5164748238476454,7
Spectral gap,Core class-organized,HUMEEmotionClassification,0.16498202381410648,0.1377099657607678,0.10674410904314571,0.5050250553750552,7
Anisotropy,Pairwise relational,LegalBenchPC,0.1885120633663486,0.099360080912876,0.08372679080753617,0.6008041795329443,7
Curvature,Pairwise relational,LegalBenchPC,-0.31643262351556667,-0.23952898033643383,-0.1450870040932153,0.5376232484737734,7
DiME,Pairwise relational,LegalBenchPC,0.10265414689568393,-0.04589987652099449,-0.030855231724796896,0.5970274629280766,7
Harmora,Pairwise relational,LegalBenchPC,0.6084756492222362,0.49216398508323983,0.3561546941671165,0.6568440397443368,7
InfoNCE,Pairwise relational,LegalBenchPC,0.19083094665794217,0.10399389430445337,0.07481135841384291,0.6100484790339279,7
LiDAR,Pairwise relational,LegalBenchPC,0.4093337821092506,0.4315069402647043,0.3214367413125177,0.5650787635095419,7
Matrix entropy,Pairwise relational,LegalBenchPC,0.23195407257846462,0.14005596887584468,0.11262687622936071,0.6000672772219006,7
Participation ratio,Pairwise relational,LegalBenchPC,0.5249306467861371,0.47848189078002745,0.34139227232394925,0.6431634864355547,7
Spectral gap,Pairwise relational,LegalBenchPC,0.5172997214272997,0.47960344003822264,0.331625724172308,0.6215603835384493,7
Anisotropy,Similarity-dominated,SICK-R,0.6371570996163973,0.28060926650988766,0.2268934791916158,0.7211855465884541,7
Curvature,Similarity-dominated,SICK-R,0.6682980028623862,0.2937371324327846,0.1854345240680644,0.748239735683165,7
DiME,Similarity-dominated,SICK-R,0.18597944609203604,0.0501494778513412,0.03899847564443837,0.7003259319340034,7
Harmora,Similarity-dominated,SICK-R,0.6921446480216927,0.6928441744590813,0.5568069197882862,0.7159864002837274,7
InfoNCE,Similarity-dominated,SICK-R,0.5975158884628187,0.2545025161174229,0.19577887950558753,0.7064162875662182,7
LiDAR,Similarity-dominated,SICK-R,0.154299595210696,0.055935244879344294,0.04437806499918303,0.5737242049856022,7
Matrix entropy,Similarity-dominated,SICK-R,0.6130340924986692,0.2673510961088601,0.21137661510332315,0.7029313219620847,7
Participation ratio,Similarity-dominated,SICK-R,0.3356183350634895,0.02996711363170992,-0.010285697739113874,0.6504365881097603,7
Spectral gap,Similarity-dominated,SICK-R,0.5013992804683208,0.16195829015704793,0.07372478453223795,0.6762743436633673,7
Anisotropy,Similarity-dominated,STS15,0.43024742204736516,0.21459887938148808,0.16792462196188904,0.6329550940238662,7
Curvature,Similarity-dominated,STS15,0.34574167382236437,0.29558782832074765,0.22147190283836243,0.5958644298598949,7
DiME,Similarity-dominated,STS15,-0.06969440409308636,-0.02844559167540531,-0.02182413859432489,0.5963929365233506,7
Harmora,Similarity-dominated,STS15,0.369563095441242,0.24201587232643135,0.1819889013677833,0.5516745548022259,7
InfoNCE,Similarity-dominated,STS15,0.41586938582986793,0.23959990320238767,0.1921623304232,0.6209692586484541,7
LiDAR,Similarity-dominated,STS15,0.266461012480527,0.21128163761704136,0.18004504811958227,0.5184012536590253,7
Matrix entropy,Similarity-dominated,STS15,0.4404565080385651,0.24480066517333596,0.18234171625475973,0.6199220089185032,7
Participation ratio,Similarity-dominated,STS15,0.4850337320775302,0.45234113712374585,0.35546155707646393,0.6122640392504088,7
Spectral gap,Similarity-dominated,STS15,0.41665591371779115,0.3895866245555687,0.3086307895003547,0.5727769190798029,7
Anisotropy,Similarity-dominated,STS16,0.4208268179124937,0.2321109945954667,0.18513014935375185,0.6547529697932504,7
Curvature,Similarity-dominated,STS16,-0.30765872351206064,-0.4251330036423205,-0.3294972522301714,0.6565455510284124,7
DiME,Similarity-dominated,STS16,-0.027611610798895958,0.07525586215027212,0.07074403857012553,0.6121791912237621,7
Harmora,Similarity-dominated,STS16,0.5287470749058231,0.5321920936206651,0.44646872795941117,0.6671707581540183,7
InfoNCE,Similarity-dominated,STS16,0.35793322873228267,0.192987137086516,0.15531813941751832,0.6564636738419031,7
LiDAR,Similarity-dominated,STS16,0.12992584861104017,-0.05549804233034044,-0.051855887383837666,0.6449721243836702,7
Matrix entropy,Similarity-dominated,STS16,0.4254470942660788,0.21756827023907774,0.18029316439254325,0.6460916349148861,7
Participation ratio,Similarity-dominated,STS16,0.46291117557000677,0.07863509161645811,-0.007426114258412357,0.7100291253719329,7
Spectral gap,Similarity-dominated,STS16,0.36496866480815376,0.10866537189518559,0.02461935579948003,0.6545357442378179,7
Anisotropy,Similarity-dominated,STSBenchmark,0.5369542584987732,0.3600962391645622,0.28657863875255174,0.6940621394059482,7
Curvature,Similarity-dominated,STSBenchmark,0.45025825994374064,0.2518624853407461,0.18549587058903821,0.6490348190116607,7
DiME,Similarity-dominated,STSBenchmark,-0.04743443328892548,0.11016927172206677,0.08685517381169557,0.6386636782125572,7
Harmora,Similarity-dominated,STSBenchmark,0.43079990736370555,0.4634518276754302,0.384418025039143,0.6179368647072884,7
InfoNCE,Similarity-dominated,STSBenchmark,0.5308684195951999,0.3641251295288563,0.27757054539663234,0.6888837770896286,7
LiDAR,Similarity-dominated,STSBenchmark,0.3095735182866034,0.11035449023026668,0.06658550559171675,0.6374857051800958,7
Matrix entropy,Similarity-dominated,STSBenchmark,0.5656290243786953,0.3860061056955467,0.3079601557862427,0.6885698166313203,7
Participation ratio,Similarity-dominated,STSBenchmark,0.5908439923956351,0.2662848331792431,0.18613072227979058,0.7184675989595047,7
Spectral gap,Similarity-dominated,STSBenchmark,0.47625479492528094,0.3097369090536793,0.2051997691749244,0.653738782550577,7
