metric,task,model,seed,pearson,spearman,kendall,distance,family
Spectral gap,Banking77Classification.v2,bge_base_en_v15,22,0.5275647309601141,0.6690027772631207,0.5038314736557788,0.7710383847695894,Core class-organized
Spectral gap,Banking77Classification.v2,bge_base_en_v15,33,0.5430614391916426,0.6830133066298876,0.5343667144834019,0.773335283635256,Core class-organized
Spectral gap,Banking77Classification.v2,bge_base_en_v15,44,0.541166496501309,0.6900185713132712,0.5649019553110248,0.7437146560073918,Core class-organized
Anisotropy,Banking77Classification.v2,bge_large_en_v15,11,0.3748862291174272,0.1963004426563035,0.1678876842112128,0.590584128455336,Core class-organized
Anisotropy,Banking77Classification.v2,bge_large_en_v15,22,0.2925004433729158,0.1161627395500618,0.0619317079066296,0.5506164946544218,Core class-organized
Anisotropy,Banking77Classification.v2,bge_large_en_v15,33,0.3903678888381123,0.1210539180767899,0.0805909467483739,0.5800199515668887,Core class-organized
Anisotropy,Banking77Classification.v2,bge_large_en_v15,44,0.31598997433501,0.1667030366682134,0.1352890158652461,0.5558459560892427,Core class-organized
Curvature,Banking77Classification.v2,bge_large_en_v15,11,0.8274511402348342,0.818281224376609,0.6496523432520844,0.8275577839073557,Core class-organized
Curvature,Banking77Classification.v2,bge_large_en_v15,22,0.8059906502856236,0.8274963693790925,0.6666766204066606,0.808474997372903,Core class-organized
Curvature,Banking77Classification.v2,bge_large_en_v15,33,0.8257088499668203,0.8190734528864814,0.659380473395787,0.8353035471105744,Core class-organized
Curvature,Banking77Classification.v2,bge_large_en_v15,44,0.8428179588727922,0.8600657975362656,0.70569675843223,0.8559650486839598,Core class-organized
DiME,Banking77Classification.v2,bge_large_en_v15,11,0.2745764847326225,0.1714908523427574,0.1313903615566013,0.5428425498465143,Core class-organized
DiME,Banking77Classification.v2,bge_large_en_v15,22,0.1935723248150058,0.0974548826187785,0.0473595413403638,0.5189022105869644,Core class-organized
DiME,Banking77Classification.v2,bge_large_en_v15,33,0.2970199354005304,0.1045069796346387,0.058611597635181,0.5340344001174548,Core class-organized
DiME,Banking77Classification.v2,bge_large_en_v15,44,0.2122509670985348,0.1423287023250803,0.106037336759247,0.5136122836861176,Core class-organized
Harmora,Banking77Classification.v2,bge_large_en_v15,11,0.041948178612916,0.1022851530470761,0.0583957162473783,0.4748098319549397,Core class-organized
Harmora,Banking77Classification.v2,bge_large_en_v15,22,-0.0402473596702602,0.0160974582897089,-0.0255012914909651,0.4673072298807743,Core class-organized
Harmora,Banking77Classification.v2,bge_large_en_v15,33,0.076030097647205,0.0034835659878212,-0.0293057988175905,0.4540551658640812,Core class-organized
Harmora,Banking77Classification.v2,bge_large_en_v15,44,-0.050041946266762,0.0735582589998121,0.0255952192177492,0.4836137053509477,Core class-organized
InfoNCE,Banking77Classification.v2,bge_large_en_v15,11,0.4062423379348544,0.1963004426563035,0.1678876842112128,0.6124533302472405,Core class-organized
InfoNCE,Banking77Classification.v2,bge_large_en_v15,22,0.3260902762443132,0.1161627395500618,0.0619317079066296,0.569603970318372,Core class-organized
InfoNCE,Banking77Classification.v2,bge_large_en_v15,33,0.4223562952474491,0.1210539180767899,0.0805909467483739,0.6031142439385138,Core class-organized
InfoNCE,Banking77Classification.v2,bge_large_en_v15,44,0.3470355222082301,0.1667030366682134,0.1352890158652461,0.5786461699049005,Core class-organized
LiDAR,Banking77Classification.v2,bge_large_en_v15,11,0.443880499234548,0.4739937517798548,0.4014705492007263,0.5131835769084044,Core class-organized
LiDAR,Banking77Classification.v2,bge_large_en_v15,22,0.3987942281107793,0.3841636667517027,0.3460889559488129,0.4745401862458293,Core class-organized
