metric,task,seed,ndcg_at_1,ndcg_at_3,selected_percentile,top1_overlap,top3_overlap,top5_overlap,ndcg_at_5,regret_at_1,family
LiDAR,ArXivHierarchicalClusteringS2S,22,0.2003741329935259,0.3571883236998152,0.019047619047619,0.0,0.0,0.0,0.4088407090086851,0.1271652866207727,Cluster-organized
LiDAR,ArXivHierarchicalClusteringS2S,33,0.2666990425366922,0.3785348430392393,0.019047619047619,0.0,0.0,0.0,0.4368011785804909,0.1448642944649517,Cluster-organized
LiDAR,ArXivHierarchicalClusteringS2S,44,0.3136754787295287,0.406371134256182,0.0095238095238095,0.0,0.0,0.0,0.4655572316825891,0.1303854805029758,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringS2S,11,0.5231040998890036,0.4623517101102607,0.2476190476190476,0.0,0.0,0.0,0.4286016545513386,0.0826500066905927,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringS2S,22,0.4253799272403,0.4208113470993874,0.0761904761904762,0.0,0.0,0.0,0.3865052713992051,0.0913823942740773,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringS2S,33,0.5598157144689301,0.4838425729061525,0.238095238095238,0.0,0.0,0.0,0.4635964088804782,0.0869588199892784,Cluster-organized
Matrix entropy,ArXivHierarchicalClusteringS2S,44,0.5679721098242281,0.4831299975055794,0.1714285714285714,0.0,0.0,0.0,0.4611427232421787,0.0820751150592445,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringS2S,11,0.0,0.3708462387026774,0.0,0.0,0.0,0.0,0.4209271477968322,0.1733082768615879,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringS2S,22,0.0,0.3202649559461166,0.0,0.0,0.0,0.0,0.3848928014805658,0.1590309816975232,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringS2S,33,0.0,0.3738021300383758,0.0,0.0,0.0,0.0,0.4381565111646277,0.197550941384391,Cluster-organized
Participation ratio,ArXivHierarchicalClusteringS2S,44,0.0,0.364971694780609,0.0,0.0,0.0,0.0,0.4467541451782712,0.1899764272761466,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringS2S,11,0.0,0.3291183635574009,0.0,0.0,0.0,0.0,0.4086657054581234,0.1733082768615879,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringS2S,22,0.0,0.3022368673019491,0.0,0.0,0.0,0.0,0.3638398567079849,0.1590309816975232,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringS2S,33,0.0,0.3686292173237851,0.0,0.0,0.0,0.0,0.4552674199964091,0.197550941384391,Cluster-organized
Spectral gap,ArXivHierarchicalClusteringS2S,44,0.0,0.3715653581606938,0.0,0.0,0.0,0.0,0.4341876725913839,0.1899764272761466,Cluster-organized
Anisotropy,BiorxivClusteringP2P.v2,11,0.8962449572355231,0.9095700674835024,0.9523809523809524,0.0,0.0,0.4,0.8593704144089035,0.0260577468598074,Cluster-organized
Anisotropy,BiorxivClusteringP2P.v2,22,0.928212625351143,0.9153020265956548,0.9809523809523808,0.0,0.6666666666666666,0.4,0.8588277420296565,0.018678099902648,Cluster-organized
Anisotropy,BiorxivClusteringP2P.v2,33,0.938049209634742,0.8909354486974124,0.9904761904761904,0.0,0.3333333333333333,0.4,0.8460261508122601,0.0165660605753608,Cluster-organized
Anisotropy,BiorxivClusteringP2P.v2,44,0.9319865050157218,0.9227837648410784,0.961904761904762,0.0,0.3333333333333333,0.6,0.8742464534014635,0.0174076124944795,Cluster-organized
Curvature,BiorxivClusteringP2P.v2,11,0.1638601830585931,0.3182465538698099,0.1142857142857142,0.0,0.0,0.0,0.2454397072306468,0.209993838455865,Cluster-organized
Curvature,BiorxivClusteringP2P.v2,22,0.2014450339077927,0.3422289872262748,0.1333333333333333,0.0,0.3333333333333333,0.2,0.2707890699763541,0.207773156594513,Cluster-organized
Curvature,BiorxivClusteringP2P.v2,33,0.1183967982532916,0.3164992918294367,0.1047619047619047,0.0,0.3333333333333333,0.2,0.2500614100954096,0.2357466621080967,Cluster-organized
Curvature,BiorxivClusteringP2P.v2,44,0.0881428197277541,0.2892598320465537,0.0857142857142857,0.0,0.0,0.2,0.232678451179502,0.2333839254718083,Cluster-organized
DiME,BiorxivClusteringP2P.v2,11,0.5072681112795927,0.5934685889867343,0.2952380952380952,0.0,0.0,0.0,0.5955286689057004,0.1237480365670198,Cluster-organized
DiME,BiorxivClusteringP2P.v2,22,0.4300036551378859,0.5816604672993791,0.2285714285714285,0.0,0.0,0.0,0.5985260776879693,0.1483053075217633,Cluster-organized
DiME,BiorxivClusteringP2P.v2,33,0.3609715621878206,0.5298907997462601,0.2095238095238095,0.0,0.0,0.0,0.5458330221449358,0.1708805286867088,Cluster-organized
DiME,BiorxivClusteringP2P.v2,44,0.4786474418202782,0.5849313062783064,0.2476190476190476,0.0,0.0,0.0,0.5923569542699161,0.1334368026212451,Cluster-organized
Harmora,BiorxivClusteringP2P.v2,11,0.8984440761543848,0.9483750355407676,0.961904761904762,0.0,0.6666666666666666,0.6,0.7055038310536114,0.0255054451829396,Cluster-organized
Harmora,BiorxivClusteringP2P.v2,22,0.8142524542717083,0.8919710439171958,0.9047619047619048,0.0,0.0,0.4,0.6696606179517881,0.0483289886662536,Cluster-organized
Harmora,BiorxivClusteringP2P.v2,33,0.9281252436231656,0.9351390612934636,0.9809523809523808,0.0,0.3333333333333333,0.4,0.6999793571217151,0.0192197962440471,Cluster-organized
Harmora,BiorxivClusteringP2P.v2,44,1.0,0.9439919790080058,1.0,1.0,0.3333333333333333,0.4,0.7065786808959948,0.0,Cluster-organized
InfoNCE,BiorxivClusteringP2P.v2,11,0.8962449572355231,0.9095700674835024,0.9523809523809524,0.0,0.0,0.4,0.8593704144089035,0.0260577468598074,Cluster-organized
InfoNCE,BiorxivClusteringP2P.v2,22,0.928212625351143,0.9153020265956548,0.9809523809523808,0.0,0.6666666666666666,0.4,0.8588277420296565,0.018678099902648,Cluster-organized
InfoNCE,BiorxivClusteringP2P.v2,33,0.938049209634742,0.8909354486974124,0.9904761904761904,0.0,0.3333333333333333,0.4,0.8460261508122601,0.0165660605753608,Cluster-organized
InfoNCE,BiorxivClusteringP2P.v2,44,0.9319865050157218,0.9227837648410784,0.961904761904762,0.0,0.3333333333333333,0.6,0.8742464534014635,0.0174076124944795,Cluster-organized
