metric,family,ndcg_at_1_mean,ndcg_at_1_variance,ndcg_at_3_mean,ndcg_at_3_variance,selected_percentile_mean,selected_percentile_variance,top1_overlap_mean,top1_overlap_variance,top3_overlap_mean,top3_overlap_variance,top5_overlap_mean,top5_overlap_variance,ndcg_at_5_mean,ndcg_at_5_variance,regret_at_1_mean,regret_at_1_variance,n_seeds,n_tasks
Curvature,Core class-organized,0.6741761148904005,0.0077672214195159866,0.6928366152871768,0.001861592266864844,0.6698412698412698,0.013308138070042838,0.16666666666666666,0.037037037037037035,0.2222222222222222,0.0,0.19999999999999998,0.002962962962962963,0.6847171041246084,0.0010309098645052224,0.1338436889907478,0.0015893598295426605,4,3
DiME,Core class-organized,0.44421011451327064,0.009522797377425127,0.5019337893746112,0.006399549079829537,0.34404761904761905,0.008694675401024615,0.0,0.0,0.0,0.0,0.0,0.0,0.5122002237728688,0.008285329150939357,0.2271436352318705,0.0014556606901469707,4,3
Harmora,Core class-organized,0.7978250188964474,0.007572075511708558,0.8583712707197674,0.002930842548282141,0.8321428571428572,0.011850802049214765,0.16666666666666666,0.037037037037037035,0.41666666666666663,0.011316872427983534,0.3166666666666667,0.007037037037037039,0.8048924191938035,0.0010319667779691774,0.08550490903432079,0.0017224422927385405,4,3
InfoNCE,Core class-organized,0.6480226265982081,0.010244052441645042,0.649463354296274,0.003794344476467166,0.6603174603174603,0.024904677920550945,0.0,0.0,0.0,0.0,0.05,0.0011111111111111113,0.650891189962421,0.0029680356378027676,0.1574657640834111,0.0018990003216970378,4,3
LiDAR,Core class-organized,0.5636474278459328,0.011042333233004992,0.6414992187748785,0.011299936824091398,0.569047619047619,0.017026119089611155,0.0,0.0,0.05555555555555555,0.012345679012345678,0.05,0.004074074074074075,0.6458226979800912,0.008742393847492024,0.1863540870893812,0.001212569474788455,4,3
Matrix entropy,Core class-organized,0.6826015973690392,0.01719941115939696,0.6584623584329861,0.005778959658500049,0.6853174603174603,0.0293682287729907,0.0,0.0,0.0,0.0,0.05,0.0011111111111111113,0.6476325072499118,0.004027948797195161,0.1367226183402654,0.0034138565107461397,4,3
Participation ratio,Core class-organized,0.6577448488204303,0.002340437418520969,0.639972305972177,0.003221525036342935,0.6876984126984127,0.01190959099689258,0.0,0.0,0.027777777777777776,0.0030864197530864196,0.06666666666666668,0.008888888888888892,0.686562720222224,0.0014681599506990144,0.15052131963896664,0.0007068310671639491,4,3
Spectral gap,Core class-organized,0.6253374414130228,0.008701292690485312,0.6676225939914775,0.004100365111713644,0.6083333333333334,0.028871042244058117,0.0,0.0,0.027777777777777776,0.0030864197530864196,0.06666666666666668,0.008888888888888892,0.6884156486621648,0.0024784307514042064,0.16250389044506688,0.0016514486976716236,4,3
Anisotropy,Pairwise relational,0.8539038692449765,0.0,0.8239588505304591,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822965925882518,0.0,0.0391927565347101,0.0,4,1
Curvature,Pairwise relational,0.2655051796222062,0.0,0.2996403758545284,0.0,0.2285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849209288041742,0.0,0.197040650716088,0.0,4,1
